Date,POP_orig,POP_dest,GDP_orig,GDP_dest,AGI_orig,AGI_dest,LABF_orig,LABF_orig,DEN_orig,DEN_dest,SUR_orig,SUR_dest,DIST,Mig
1972,8.082847517,7.124784307,10.04129754,10.73803939,3.363825279,10.31804923,53.42733437,62.87323841,1.824792397,2.596381869,6.281244779,4.618361931,4.0553908,3.111934276
1973,8.094120522,7.12837736,10.21147438,10.85637182,3.391559272,10.43376525,53.57183388,63.16182001,1.836065402,2.599974922,6.281244779,4.618361931,4.0553908,3.011570444
1974,8.105245092,7.131780805,10.41166027,10.94073265,3.414786924,10.54805928,53.77295015,63.51448021,1.847189972,2.603378367,6.281244779,4.618361931,4.0553908,3.000867722
1975,8.116211552,7.135652062,10.48378487,11.00108232,3.432981361,10.66138987,54.00809256,63.92596635,1.858156432,2.607249624,6.281244779,4.618361931,4.0553908,3.038222638
1976,8.126997638,7.139061245,10.57134957,11.03809822,3.477478074,10.82793511,54.18147974,64.32777669,1.868942518,2.610658807,6.281244779,4.618361931,4.0553908,3.077004327
1977,8.137601124,7.141643673,10.66095001,11.10386182,3.514848673,10.98612336,54.3995924,64.77124998,1.879546004,2.613241235,6.281244779,4.618361931,4.0553908,3.079543007
1978,8.14805244,7.144315733,10.71143365,11.19273382,3.543485065,11.13383381,54.66275447,65.25333129,1.88999732,2.615913295,6.281244779,4.618361931,4.0553908,3.170261715
1979,8.15839218,7.147313591,10.71096469,11.25447413,3.560908631,11.26497156,54.97644484,65.76602934,1.90033706,2.618911153,6.281244779,4.618361931,4.0553908,3.300812794
1980,8.168638397,7.150750301,10.86023219,11.29037321,3.566790902,11.37742284,55.33860666,66.29601973,1.910583277,2.622347863,6.281244779,4.618361931,4.0553908,3.251881455
1981,8.17879923,7.153729765,10.93205872,11.21519913,3.590697286,11.51322614,55.65153632,66.81561694,1.92074411,2.625327327,6.281244779,4.618361931,4.0553908,3.190611798
1982,8.188839184,7.155721265,10.95500643,11.19997317,3.603619357,11.6181797,56.00854205,67.32491014,1.930784064,2.627318827,6.281244779,4.618361931,4.0553908,3.05422991
1983,8.198682506,7.157368208,10.90876525,11.18595406,3.609698258,11.71094266,56.40556819,67.807135,1.940627386,2.62896577,6.281244779,4.618361931,4.0553908,2.996511672
1984,8.208235321,7.159092067,10.92867078,11.15809901,3.61354201,11.8170479,56.84309092,68.23801839,1.950180201,2.630689629,6.281244779,4.618361931,4.0553908,2.822821645
1985,8.217437754,7.161117297,10.93089553,11.15789725,3.618462427,11.95053118,57.32098076,68.59627934,1.959382634,2.632714859,6.281244779,4.618361931,4.0553908,2.872156273
1986,8.22627577,7.163527448,10.90284059,11.30289799,3.646385151,12.09852454,57.73067832,68.77898403,1.96822065,2.63512501,6.281244779,4.618361931,4.0553908,2.986771734
1987,8.234777266,7.166283163,10.88041121,11.38924817,3.673260634,12.26769093,58.20677446,68.92632249,1.976722146,2.637880725,6.281244779,4.618361931,4.0553908,2.994756945
1988,8.242978368,7.169089123,10.92582847,11.41815292,3.701776074,12.44257663,58.72547836,69.02544856,1.984923248,2.640686685,6.281244779,4.618361931,4.0553908,2.942999593
1989,8.250929991,7.171694487,10.97520853,11.41218612,3.73472967,12.59979467,59.25407814,69.07096842,1.992874871,2.643292049,6.281244779,4.618361931,4.0553908,3
1990,8.258669358,7.174685056,11.02588206,11.50287827,3.77396208,12.72813884,59.7748754,69.06664605,2.000614238,2.646282618,6.281244779,4.618361931,4.0553908,3.079181246
1991,8.266212633,7.178107431,11.06678047,11.51521174,3.847290095,12.84183053,60.26503611,69.00007229,2.008157513,2.649704993,6.281244779,4.618361931,4.0553908,3.044931546
1992,8.273556318,7.181390943,11.10730146,11.5598622,3.920294764,12.92594513,60.72548575,68.90168195,2.015501198,2.652988505,6.281244779,4.618361931,4.0553908,3
1993,8.280694859,7.184417938,11.1986755,11.54845105,3.993681464,12.99146071,61.17880437,68.77384643,2.022639739,2.6560155,6.281244779,4.618361931,4.0553908,2.84509804
1994,8.28761691,7.187036466,11.24770855,11.57878845,4.068383486,13.05528228,61.65969107,68.63415732,2.029561789,2.658634028,6.281244779,4.618361931,4.0553908,2.84509804
1995,8.294321269,7.189181566,11.30563513,11.6554282,4.145189872,13.12852057,62.18259484,68.49822254,2.036266149,2.660779128,6.281244779,4.618361931,4.0553908,2.929418926
1996,8.300815469,7.191185382,11.35673255,11.65368534,4.257089406,13.22334563,62.63378082,68.34138488,2.042760348,2.662782944,6.281244779,4.618361931,4.0553908,3.26904571
1997,8.307124577,7.193420987,11.33394879,11.61994098,4.368090638,13.31985775,63.13691066,68.21084637,2.049069457,2.665018549,6.281244779,4.618361931,4.0553908,3.242789809
1998,8.31328622,7.196099022,10.97975568,11.64148226,4.479087264,13.41593013,63.66523891,68.10811267,2.0552311,2.667696585,6.281244779,4.618361931,4.0553908,3.285782274
1999,8.319345888,7.198989223,11.14613223,11.65035564,4.589828748,13.50430927,64.1686588,68.02452309,2.061290768,2.670586785,6.281244779,4.618361931,4.0553908,3.305566314
2000,8.325338753,7.202093431,11.21753925,11.62063499,4.699113684,13.58208254,64.6084658,67.95007066,2.051754412,2.673690993,6.281244779,4.618361931,4.0553908,3.159266331
2001,8.331280318,7.20537166,11.20533146,11.63506821,4.761192455,13.69804835,64.78682435,67.87345876,2.057695977,2.676969222,6.281244779,4.618361931,4.0553908,3.193958978
2002,8.33717521,7.208143725,11.29150341,11.67565186,4.80317262,13.80132219,64.93126796,67.77872368,2.063590869,2.679741287,6.281244779,4.618361931,4.0553908,3.200029267
2003,8.343033172,7.210192789,11.37064716,11.76348068,4.822652902,13.90091853,65.0565537,67.67766287,2.069448831,2.681790351,6.281244779,4.618361931,4.0553908,3.14176323
2004,8.348860844,7.211701856,11.40965738,11.81847668,4.820302042,14.00848839,65.18241233,67.5957265,2.075276503,2.683299418,6.281244779,4.618466492,4.0553908,3.068556895
